no,attractions,tel,website,addr,opening_hour
65,西門町商圈,02-2720-8889,http://goo.gl/dAn0f,臺北市萬華區中華路西門町,依商圈各店情況不同
66,萬華青草巷,02-2340-6199,http://goo.gl/Du7yw,臺北市萬華區西昌街224巷,依商圈各店情況不同
67,信義商圈,02-2720-8889,http://goo.gl/GuV9n,台北市信義區信義路4、5段,11:00-21:30 (依各商家而定)
68,士林夜市,02-2882-0340,goo.gl/Kh3N1,台北市士林區大東路、大南路、文林路、基河路間與週邊,週一至週日上午11:00至次日凌晨02:00
69,饒河街觀光夜市,02-2763-5733,http://www.raohe.com.tw/,臺北市松山區八德路4段與松河街間且與之平行的饒河街上,週一至週日 17:00-24:00
70,南門市場,02-2321-8069,http://www.nanmenmarket.com,臺北市中正區羅斯福路1段8-1號,1F及B1：週二至週日8:00-19:00； 2F：週一至週日10:00-19:00 ; 1F及B1週一休市
71,美麗華商圈,02-2175-3456,http://www.miramar.com.tw/,臺北市中山區敬業三路20號,百貨服飾: 週一至週日 11:00-22:00 頂好超市: 週一至週日 11:00-22:00 摩天輪: 週日至週四 11:00-23:00 週五、週六及例假日前一天 11:00-24:00 (最後售票時間為營運結束前10分鐘) 影城: 週一至週日 10:00-末場電影
72,濱江蔬果、魚市場,,http://www.tcma.gov.tw/cht/index.php?code=list&flag=detail&ids=93&article_id=571,臺北市中山區民族東路336號,蔬菜零批場 週一至週日 4:00-12:00; 水果零批場 週一至週日 4:00-17:00; 魚市場 週一9:00-17:00； 週二至週日7:00-19:00; 休市日:依公司網站公布
73,富錦街,,,臺北市松山區富錦街,依商圈各店情況不同
74,光華數位新天地,02-2391-7105、02-2341-2202,http://www.gh3c.com.tw/,臺北市中正區市民大道3段8號,週一至週日 10:00-21:00 休市日：每月最後一週的週二
75,永樂市場,02-2341-5241#2118,http://fcp.taipei.gov.tw/MP_10501X.html,臺北市大同區迪化街1段21號,1F: 0800-1700；2-4F: 0900-1830 休市日: 一樓週一；二樓第2、4週日；三四樓週日 休市
76,中山北路條通商圈,,,以臺北市林森北路為中心，延伸至中山北路與新生北路、南京東路及市民大道,依商圈各店情況不同
77,慈聖宮前小吃區,,,臺北市大同區保安街49巷17號(慈聖宮),週一至週日 11:00-15:00
78,士東市場,02-28345308,http://www.tcma.gov.tw/cht/index.php?code=list&flag=detail&ids=91&article_id=625,臺北市士林區士東路100號,週二至週日 6:00-21:00 週一休市
79,後火車站商圈,,http://www.zonego.taipei.gov.tw/ct.asp?xItem=209717&CtNode=19183&mp=10501G,臺北市重慶北路、承德路、太原路以及鄭州路一帶,依商圈各店情形不同
80,捷運中山站街區,,,臺北市中山區中山北路2段,依商圈各店情況不同
81,中山北路婚紗街,02-2375-8973,,臺北市中山區中山北路2、3段,依商圈各店情形不同
82,五分埔,,http://goo.gl/ACqTW,臺北市信義區忠孝東路5段、松山路一帶,依商圈各店情形不同
83,鼎泰豐,02-2321-8928,http://www.dintaifung.com.tw/tw/default.htm,臺北市大安區信義路2段194號,週一至週五 10:00-21:00 週六及例假日 09:00-21:00
84,ICE MONSTER,02-8771-3263,http://www.ice-monster.com/,臺北市大安區忠孝東路4段297號,週一至週日 10:30-23:30
85,桃源街牛肉麵,02-2375-8973,,臺北市中正區桃源街15號,週一至週日 10：00-21：00
86,臺一牛奶大王,02-2363-4341,,臺北市大安區新生南路3段82號,週一至週日 11:00-24:00
87,欣葉台菜,02-8101-0185,http://www.shinyeh.com.tw/,臺北市信義路5段7號85樓之1,週一至週日 11:00-24:00
88,復興南路清粥小菜,,,台北市大安區復興南路2段 ,週一至週日 11:00-隔天6:00
89,阜杭豆漿,02-2392-2175,,臺北市中正區忠孝東路1段108號2樓之28,週二至週日 5:30-12:30週一休息
90,成功高中昆蟲科學博物館,02-2321-6256#321曾小姐或鄭小姐,http://www.tieca.org.tw/ezinfo/front/bin/ptlist.phtml?Category=1,臺北市中正區濟南路1段71號,週六 10:00-16:00 (11:00及14:00兩時段播放立體多媒體影片)
91,國立故宮博物院,02-2881-2021、 02-66103600,http://www.npm.gov.tw/npmwebadmin.jsp?do=index,臺北市士林區至善路2段221號,展覽區(正館): 週日至週四 8:30-18:30週五至週六 08:30-21:00
92,臺北市立美術館,02-2595-7656,http://www.tfam.museum/,臺北市中山區中山北路3段181號,週二至週日 9:30-17:30 週六延長至20:30 週一休館
93,台北當代藝術館,02-2552-3721,http://www.mocataipei.org.tw/blog,臺北市大同區長安西路39號,週二至週日 10:00-18:00 (17:30停止售票) 週一休館
94,台北探索館,02-2720-8889#8630,http://www.discovery.taipei.gov.tw/web/index.html,臺北市信義區市府路1號,週二至週日 9:00-17：00 週一及國定假日暨民族節日休館
95,臺北戲棚,02-2568-2677,http://www.taipeieye.com/about.html,臺北市中山區中山北路2段113號,週一、三、五：20:30開演 週六 20:00開演
96,國立中正文化中心(兩廳院),02-3393-9888(09:00~20:00)、02-3393-9999 (24hours),http://www.ntch.edu.tw/,臺北市中正區中山南路21-1號,週一至週日 11:30-20:00
97,林柳新紀念偶戲博物館,02-2556-8909,http://www.taipeipuppet.com/about.html,臺北市大同區西寧北路79號,週二至週日10:00-17:00 週一及國定假日休館
98,台北故事館,02-2587-5565、02-2586-8628,http://goo.gl/iwoM4,臺北市中山區中山北路3段181-1號,週二至週日10:00-17:30 週一休館(古蹟) 週二至週五 11:00-19:00；週六及週日 11:00-21:00 週一休息(故事茶坊)
99,臺北市客家文化主題公園,02-2369-1198,http://www.thcp.org.tw/index.php?routing=Index&action=index,臺北市中正區汀州路3段2號,週二至週日 09:00-18:00 (展館) 週一休館 主題公園: 全天開放
100,河岸留言,02-2368-7310,http://www.riverside.com.tw/,臺北市中正區羅斯福路3段244巷2號B1,週一至週日 19:00-20:30
101,臺北市立天文科學教育館,02-2831-4551,http://www.tam.gov.tw/,臺北市士林區基河路363號,週日及週二至週五 9:00-17:00 週六 9:00-20:00週一休館（如遇國定假日則維持開放，詳情請注意新聞通知，或可以打電話至本館詢問）
